user,Review,SENTIMEN
User,Super the best banget . Dan PUAS belanja di shoppe,positif
puuterinc,Senang berbelanja di shoope ..tingkatkan terus pelayanannya,positif
abelinaa,Allahu Akbar semoga saya dapat mobil🙏,positif
Ana_May,sangat bagus untuk semuanya,positif
noeryati_,Sangat lemot..!!,positif
Melisnagustiani,"KECEWA DENGAN PERUBAHAN EKSPEDISI PENGIRIMANNYA!!!!!!!! BUKANNYA CEPET MALAH TAMBAH LAMA, BUKANNYA ONGKIRNYA MURAH MALAH MAHAL!!!!!!!!",positif
verginita_,Bagus banget.. Aku puas.. Pengemasan rapi banget.. Makasih ya seller,positif
Saraahd,Aplikasi sangat bagus dan banyak bonus??,positif
argitachance,Aplikasinya sering eror bikin pusing susah bayar susah pencarian juga,positif
aulisfa,Saya udh kecewa banget... Uang saya belum kembali soal pesanan,positif
Mellinda_03,"Shopee emang keren bangetlah tapi sayang, shopee later gak bisa dipakai",positif
Ninadwi07,Untuk sampai saat ini masih bagus .. Pertahankan yah.,positif
Virdhiaronay,Bagus tingkatkan terus ya shopee,positif
rizqazidny,Shopee keren cuman ada yang jual terlalu mahal barangnya mesti seken,positif
adindaraissa00,Bagus banget aplikasinya,positif
Rifky_30205,"Kelebihan: Barang yang dijual lengkap dari dalam sampai luat negeri ada. Proses pembayarannya mudah dan aman. Kekurangan: Sering loading lama banget cuman mau masukin barang ke keranjang.. padahal sudah di bersihkan chace nya :( **Tambahan: sudah versi terbaru plus clear chace admin, tapi masih aja lo...Ulasan Lengkap",positif
salsabilita,Makasih shopee... Mantap..... Kali lain mau pesan lagi .... Bravo shopee..... Masker untuh halangi virus korona di dunia.... Wabil khusus di indonesia raya tercinta ini.... Hehe.......,positif
tirtaaningtyas,"Suka barang"" nya cuma pengiriman nya yang kadang terlalu lama",positif
Fitrilutfiyani9_,Selama ini barang yang dicari selalu ada,positif
divaazka,Terimakasih shopee!!?,positif
Nurmarcu,Barang sesuai gambar...,positif
dianayumaha,suka semoga selalu aman amanah ya terimakasih shopee,positif
fadilabalqies,Pemesanan dan program pemerintah di rumah aja tambah makin enak,positif
desnataza,Tetap jaga kepercayaan pelanggan,positif
missindriii,Belanja online lebih mudah,positif
hildamusya,Pelayanannya sangat memuaskan,positif
vaniaadwitya,"Sudah baik, semoga lebih baik lagi..",positif
bonitasucelaw,"Masih ada yang perlu dipantau kualitas dr produsen,terutama barang elektronik.",positif
Tiarauswatun24,"mantap harganya murah, bikin pasar ofline ngadat ??",positif
Zuliacitra17_,Aku suka aku belanja di shopee ini dari mula nya hidup virus covid 19 tapi ongkir/harga produknya tolong di potong agar lebih murah jadi bisa beli banyak,positif
tria07,"Tolong perbaiki lagi performa aplikasi y , masak aku beli alat elektronik total belanja ya sering lebih 5 ribu bahkan lebih dari hitungan manual, ya terpaksa aku kurangi lagi bintang y",positif
lubnarn24,Nyaman belanja d shope...jadi g ribet,positif
